indice,movie,year,imdb,metascore,votes
0,Logan,2017,8.1,77,668878
1,Thor: Ragnarok,2017,7.9,74,617596
2,Wonder Woman,2017,7.4,76,595507
3,Guardians of the Galaxy Vol. 2,2017,7.6,67,590494
4,Star Wars: Episode VIII - The Last Jedi,2017,7.0,84,577741
5,Dunkirk,2017,7.8,94,576555
6,Spider-Man: Homecoming,2017,7.4,73,534153
7,Get Out,2017,7.7,85,511473
8,Blade Runner 2049,2017,8.0,81,481146
9,It,2017,7.3,69,472988
10,Baby Driver,2017,7.6,86,459373
11,"Three Billboards Outside Ebbing, Missouri",2017,8.1,88,452042
12,Justice League,2017,6.1,45,415970
13,Coco,2017,8.4,81,409327
14,The Shape of Water,2017,7.3,87,383547
15,John Wick: Chapter 2,2017,7.5,75,380866
16,Jumanji: Welcome to the Jungle,2017,6.9,58,331790
17,Kong: Skull Island,2017,6.6,62,290152
18,Kingsman: The Golden Circle,2017,6.7,44,282869
19,Beauty and the Beast,2017,7.1,65,281323
20,Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.5,39,272521
21,Alien: Covenant,2017,6.4,65,259941
22,Lady Bird,2017,7.4,94,251887
23,The Greatest Showman,2017,7.6,48,248273
24,War for the Planet of the Apes,2017,7.4,82,233686
25,Call Me by Your Name,2017,7.9,93,225155
26,Murder on the Orient Express,2017,6.5,52,219385
27,Wind River,2017,7.7,73,215274
28,Life,2017,6.6,54,212073
29,The Fate of the Furious,2017,6.6,56,211042
30,Ghost in the Shell,2017,6.3,52,200642
31,King Arthur: Legend of the Sword,2017,6.7,41,198014
32,Mother!,2017,6.6,75,197276
33,The Hitman's Bodyguard,2017,6.9,47,195402
34,"I, Tonya",2017,7.5,77,190365
35,Atomic Blonde,2017,6.7,63,180627
36,Darkest Hour,2017,7.4,75,177700
37,The Mummy,2017,5.4,34,176277
38,Bright,2017,6.3,29,173144
39,Baywatch,2017,5.5,37,167423
40,Valerian and the City of a Thousand Planets,2017,6.5,51,166900
41,American Made,2017,7.2,65,163943
